0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
0,1,fruit rollups,3 rollup(s),8/15/2019,0
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
1,frozen pizza,2 (pizzas),,,
2,huevos rancheros,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/reources/data/huevos-rancheros.txt,1 jar(s) salsa./2 egg(s) eggs./null shredded cheese./,,
2,huevos rancheros,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/reources/data/huevos-rancheros.txt,1 jar(s) salsa./2 egg(s) eggs./null shredded cheese./,,
2,huevos rancheros,/ou-cs-hci/build/resources/main/edu/ou/cs/hci/reources/data/huevos-rancheros.txt,1 jar(s) salsa./2 egg(s) eggs./null shredded cheese./,,
